id_user,first_name,last_name,kesalahan_analogi_verbal,kesalahan_silogisme,kesalahan_analitis,kesalahan_berhitung,kesalahan_deret_angka,kesalahan_perbandingan_kuantitatif,kesalahan_soal_cerita,kesalahan_analogi_figural,kesalahan_ketidaksamaan,kesalahan_serial,kesalahan_nasionalisme,kesalahan_integritas,kesalahan_bela_negara,kesalahan_pilar_negara,kesalahan_bahasa_indonesia,skor_pelayanan_publik,skor_jejaring_kerja,skor_sosial_budaya,skor_tik,skor_profesionalisme,skor_anti_radikalisme,total_kesalahan_tiu,total_kesalahan_twk,total_skor_tkp,label_tiu,label_twk,label_tkp
178,Hadi,Wibowo,3,0,3,0,3,2,4,4,4,1,3,3,4,3,1,20,18,34,28,28,7,24,14,135,Rendah,Sedang,Rendah
179,Hadi,Lestari,1,3,3,3,0,3,3,2,2,3,2,4,2,0,0,13,9,13,17,29,24,23,8,105,Rendah,Tinggi,Rendah
180,Sari,Lestari,1,0,0,3,0,1,0,0,3,4,3,6,2,0,4,28,9,8,33,5,28,12,15,111,Tinggi,Sedang,Rendah
181,Rina,Hidayat,3,0,3,0,0,0,1,4,0,1,4,6,1,3,1,33,27,28,15,1,6,12,15,110,Tinggi,Sedang,Rendah
182,Joko,Santoso,0,1,1,0,2,3,0,3,4,4,5,4,6,0,0,16,12,32,36,1,2,18,15,99,Sedang,Sedang,Rendah
183,Siti,Siregar,2,2,3,2,0,4,4,3,1,4,2,2,0,5,3,1,21,21,35,9,38,25,12,125,Rendah,Tinggi,Rendah
184,Dewi,Santoso,1,1,2,0,1,3,0,4,1,2,6,4,1,6,5,14,19,25,6,5,33,15,22,102,Tinggi,Rendah,Rendah
185,Hadi,Hidayat,2,2,0,0,1,0,3,0,0,0,2,2,0,4,4,35,4,7,23,11,12,8,12,92,Tinggi,Tinggi,Rendah
186,Agus,Hidayat,2,3,3,0,0,4,0,2,3,1,6,2,6,3,0,3,24,21,1,14,36,18,17,99,Sedang,Sedang,Rendah
187,Dewi,Hidayat,3,2,1,1,2,1,4,4,0,0,3,1,3,1,4,3,4,4,11,21,31,18,12,74,Sedang,Tinggi,Rendah
188,Lina,Santoso,1,2,3,1,0,0,4,4,4,0,4,4,2,2,3,32,34,9,12,13,18,19,15,118,Sedang,Sedang,Rendah
189,Budi,Wibowo,2,1,3,3,1,2,0,2,2,3,1,0,1,0,1,23,24,22,35,25,22,19,3,151,Sedang,Tinggi,Rendah
190,Rina,Hidayat,2,2,3,1,2,4,0,1,0,3,3,3,3,0,2,16,26,28,3,18,5,18,11,96,Sedang,Tinggi,Rendah
191,Rina,Wibowo,1,2,3,0,2,0,3,1,0,4,3,4,2,1,2,32,20,26,40,2,4,16,12,124,Sedang,Tinggi,Rendah
192,Lina,Hidayat,3,1,2,1,1,3,3,1,4,3,3,2,1,2,1,18,32,24,33,6,38,22,9,151,Rendah,Tinggi,Rendah
193,Rina,Santoso,3,0,0,3,2,1,2,4,2,0,6,4,2,6,6,12,6,28,39,24,5,17,24,114,Sedang,Rendah,Rendah
194,Lina,Siregar,0,0,3,2,1,1,2,3,3,4,1,0,4,5,3,3,4,8,16,3,20,19,13,54,Sedang,Tinggi,Rendah
195,Putra,Siregar,2,0,2,0,0,4,3,4,3,1,1,6,2,2,4,14,20,13,36,23,19,19,15,125,Sedang,Sedang,Rendah
196,Putra,Wibowo,1,1,1,3,3,0,0,4,3,1,4,6,1,5,0,30,18,14,9,9,21,17,16,101,Sedang,Sedang,Rendah
197,Agus,Lestari,0,1,0,3,2,0,3,0,2,2,6,3,1,5,1,24,7,18,11,31,19,13,16,110,Tinggi,Sedang,Rendah
198,Joko,Lestari,2,0,2,2,0,4,4,2,4,3,6,1,2,2,3,30,17,29,4,24,10,23,14,114,Rendah,Sedang,Rendah
199,Putra,Siregar,3,3,0,2,0,0,4,1,3,4,0,6,2,5,5,29,19,4,27,2,4,20,18,85,Rendah,Rendah,Rendah
200,Lina,Wibowo,1,3,3,1,1,4,4,4,3,3,3,2,4,6,0,6,17,28,30,15,4,27,15,100,Rendah,Sedang,Rendah
201,Dewi,Hidayat,2,3,2,3,1,1,3,4,1,1,3,6,0,1,4,6,7,9,13,14,30,21,14,79,Rendah,Sedang,Rendah
202,Hadi,Wibowo,2,0,0,1,2,4,2,0,1,1,4,5,6,1,2,7,2,1,24,30,35,13,18,99,Tinggi,Rendah,Rendah
203,Hadi,Santoso,3,0,1,3,1,2,1,1,2,1,4,4,0,4,0,10,18,5,31,19,23,15,12,106,Tinggi,Tinggi,Rendah
204,Dewi,Lestari,2,1,3,2,0,4,1,3,0,3,3,5,3,4,2,4,23,31,18,6,34,19,17,116,Sedang,Sedang,Rendah
205,Siti,Lestari,3,1,1,0,1,4,3,1,1,4,2,4,4,0,2,3,21,17,35,39,18,19,12,133,Sedang,Tinggi,Rendah
206,Agus,Wibowo,3,2,3,1,0,3,0,3,3,2,2,4,1,0,2,5,10,32,14,38,36,20,9,135,Rendah,Tinggi,Rendah
207,Putra,Lestari,0,3,3,3,3,3,1,4,3,0,3,6,4,0,0,10,31,18,24,11,26,23,13,120,Rendah,Tinggi,Rendah
208,Agus,Wibowo,3,2,1,3,2,3,1,0,1,1,1,3,1,5,2,12,6,23,14,4,6,17,12,65,Sedang,Tinggi,Rendah
209,Rina,Lestari,2,0,2,0,1,1,2,4,0,0,2,5,5,0,1,10,10,34,15,27,17,12,13,113,Tinggi,Tinggi,Rendah
210,Agus,Lestari,2,1,3,3,0,1,0,0,2,4,4,2,1,1,2,21,7,18,19,19,35,16,10,119,Sedang,Tinggi,Rendah
211,Joko,Siregar,0,2,2,1,1,1,1,4,4,3,2,2,3,6,6,2,23,18,19,3,26,19,19,91,Sedang,Rendah,Rendah
212,Dewi,Santoso,0,0,2,0,0,2,0,1,0,4,3,5,1,5,3,19,27,14,16,15,12,9,17,103,Tinggi,Sedang,Rendah
213,Rina,Santoso,0,1,0,3,2,1,1,4,3,3,1,1,0,5,6,20,23,25,19,29,33,18,13,149,Sedang,Tinggi,Rendah
214,Rina,Lestari,3,0,2,1,2,3,1,2,1,2,6,0,4,0,3,17,19,33,6,25,1,17,13,101,Sedang,Tinggi,Rendah
215,Siti,Hidayat,1,0,0,0,1,4,1,2,3,3,3,5,3,6,2,23,5,30,2,37,35,15,19,132,Tinggi,Rendah,Rendah
216,Joko,Siregar,1,3,3,0,3,0,1,1,2,3,2,1,1,5,4,27,11,26,1,2,25,17,13,92,Sedang,Tinggi,Rendah
217,Hadi,Wibowo,3,2,0,1,1,1,1,2,1,3,6,2,4,1,1,15,28,8,5,9,32,15,14,97,Tinggi,Sedang,Rendah
218,Siti,Wibowo,2,3,1,3,3,0,2,1,2,1,2,1,1,0,4,34,33,21,33,30,14,18,8,165,Sedang,Tinggi,Rendah
219,Hadi,Santoso,2,1,2,1,2,3,1,0,1,4,0,6,4,2,2,20,33,10,27,21,3,17,14,114,Sedang,Sedang,Rendah
220,Putra,Lestari,3,0,1,3,1,3,4,1,2,2,5,3,4,2,1,28,32,15,24,21,14,20,15,134,Rendah,Sedang,Rendah
221,Budi,Lestari,1,1,0,0,3,0,3,2,2,2,6,5,3,3,2,28,26,13,5,18,33,14,19,123,Tinggi,Rendah,Rendah
222,Hadi,Hidayat,1,1,0,2,1,3,1,2,3,1,6,2,0,2,2,8,33,26,5,7,16,15,12,95,Tinggi,Tinggi,Rendah
223,Rina,Santoso,3,2,3,2,0,2,2,2,2,4,0,2,1,2,6,1,25,35,11,34,7,22,11,113,Rendah,Tinggi,Rendah
224,Siti,Hidayat,3,1,0,3,1,3,4,2,3,4,2,5,2,4,1,5,4,9,5,19,16,24,14,58,Rendah,Sedang,Rendah
225,Hadi,Siregar,0,3,2,2,3,4,1,2,0,3,5,2,1,1,0,2,31,7,13,39,34,20,9,126,Rendah,Tinggi,Rendah
226,Agus,Wibowo,3,1,0,3,0,3,0,3,1,0,5,5,3,4,0,19,12,35,16,25,37,14,17,144,Tinggi,Sedang,Rendah
227,Siti,Santoso,0,1,3,2,2,2,2,1,4,1,4,5,6,1,3,11,11,21,1,23,33,18,19,100,Sedang,Rendah,Rendah
228,Joko,Wibowo,2,0,1,2,0,1,0,1,4,4,6,5,6,0,5,18,24,19,13,14,25,15,22,113,Tinggi,Rendah,Rendah
229,Siti,Siregar,2,2,3,1,1,2,0,0,1,3,3,0,1,3,6,14,33,22,39,29,5,15,13,142,Tinggi,Tinggi,Rendah
230,Hadi,Santoso,0,0,3,3,1,4,1,2,0,3,1,2,2,4,5,7,15,20,17,37,37,17,14,133,Sedang,Sedang,Rendah
231,Sari,Wibowo,0,0,1,1,0,4,0,0,3,0,0,5,3,1,0,3,28,27,19,17,18,9,9,112,Tinggi,Tinggi,Rendah
232,Budi,Siregar,3,3,0,2,2,0,0,4,1,1,5,1,6,6,0,25,5,16,16,25,2,16,18,89,Sedang,Rendah,Rendah
233,Agus,Hidayat,2,3,0,3,3,1,1,2,1,4,3,4,0,0,3,6,1,30,20,5,36,20,10,98,Rendah,Tinggi,Rendah
234,Hadi,Santoso,1,3,0,2,2,2,1,3,4,0,1,1,3,4,0,9,32,27,11,15,10,18,9,104,Sedang,Tinggi,Rendah
235,Lina,Siregar,1,2,0,3,3,2,0,4,4,4,2,2,5,5,0,32,30,19,25,38,5,23,14,149,Rendah,Sedang,Rendah
236,Budi,Santoso,1,0,2,3,3,3,1,2,4,4,1,1,1,0,2,12,31,24,34,26,35,23,5,162,Rendah,Tinggi,Rendah
237,Rina,Hidayat,1,2,2,1,2,4,3,3,4,3,5,1,2,3,5,32,16,5,8,6,19,25,16,86,Rendah,Sedang,Rendah
238,Agus,Hidayat,2,0,1,2,0,0,4,1,1,4,1,6,2,6,0,29,34,13,27,36,6,15,15,145,Tinggi,Sedang,Rendah
239,Siti,Santoso,2,3,2,1,3,3,4,1,4,1,3,0,1,2,3,23,20,7,5,4,11,24,9,70,Rendah,Tinggi,Rendah
240,Joko,Santoso,0,2,3,3,0,4,1,4,2,3,5,6,0,5,6,8,34,30,29,17,11,22,22,129,Rendah,Rendah,Rendah
241,Putra,Hidayat,1,3,0,0,3,4,4,3,0,3,2,5,5,5,6,5,9,16,24,35,23,21,23,112,Rendah,Rendah,Rendah
242,Joko,Santoso,2,3,2,2,0,4,2,2,0,3,0,4,6,6,5,4,8,22,39,38,18,20,21,129,Rendah,Rendah,Rendah
243,Agus,Hidayat,3,0,0,1,3,4,4,4,1,1,4,0,5,5,1,21,4,34,39,32,34,21,15,164,Rendah,Sedang,Rendah
244,Putra,Santoso,0,2,0,0,1,0,2,4,1,4,1,1,4,2,5,8,4,17,7,4,16,14,13,56,Tinggi,Tinggi,Rendah
245,Joko,Wibowo,0,0,2,0,2,0,3,0,0,3,1,4,1,0,6,20,34,8,22,25,25,10,12,134,Tinggi,Tinggi,Rendah
246,Putra,Hidayat,3,2,0,2,3,1,2,3,2,1,5,0,5,2,1,30,4,1,8,28,15,19,13,86,Sedang,Tinggi,Rendah
247,Siti,Wibowo,2,1,2,2,0,1,0,1,3,3,0,5,5,1,2,18,27,27,17,14,4,15,13,107,Tinggi,Tinggi,Rendah
248,Dewi,Hidayat,1,2,0,1,3,3,2,0,3,3,0,1,6,3,4,5,8,1,23,35,2,18,14,74,Sedang,Sedang,Rendah
249,Dewi,Lestari,3,2,0,2,0,2,4,1,1,0,2,3,1,5,5,18,14,19,14,31,40,15,16,136,Tinggi,Sedang,Rendah
250,Joko,Siregar,2,2,2,3,3,0,1,4,3,3,5,5,4,1,0,35,14,30,25,26,34,23,15,164,Rendah,Sedang,Rendah
251,Sari,Siregar,1,0,1,2,0,4,0,0,4,1,6,3,2,4,1,6,22,35,11,38,3,13,16,115,Tinggi,Sedang,Rendah
252,Hadi,Santoso,1,0,1,2,0,2,0,2,3,1,2,5,1,6,3,29,19,9,13,36,11,12,17,117,Tinggi,Sedang,Rendah
253,Dewi,Wibowo,0,1,1,2,3,2,1,3,1,1,2,3,3,3,4,28,5,2,13,21,17,15,15,86,Tinggi,Sedang,Rendah
254,Joko,Santoso,3,0,1,0,0,2,0,2,4,3,2,5,6,0,2,27,11,27,19,4,20,15,15,108,Tinggi,Sedang,Rendah
255,Hadi,Hidayat,2,3,2,3,0,4,3,2,0,1,4,1,4,3,1,14,24,7,4,25,29,20,13,103,Rendah,Tinggi,Rendah
256,Hadi,Siregar,2,1,1,0,2,2,2,1,4,4,4,6,3,4,4,25,21,5,14,3,24,19,21,92,Sedang,Rendah,Rendah
257,Hadi,Santoso,0,0,0,0,1,1,4,0,0,4,5,2,4,5,3,12,11,2,22,31,25,10,19,103,Tinggi,Rendah,Rendah
258,Putra,Wibowo,3,1,3,0,2,2,3,1,1,4,6,0,3,4,4,1,15,21,24,17,40,20,17,118,Rendah,Sedang,Rendah
259,Putra,Santoso,0,0,2,2,0,2,4,4,2,1,3,0,4,2,5,8,8,15,32,36,26,17,14,125,Sedang,Sedang,Rendah
260,Putra,Hidayat,3,2,1,3,3,0,3,4,0,2,6,5,2,3,3,4,32,29,40,17,23,21,19,145,Rendah,Rendah,Rendah
261,Joko,Santoso,0,0,0,2,0,2,4,1,4,3,6,1,4,0,1,1,15,26,27,12,23,16,12,104,Sedang,Tinggi,Rendah
262,Joko,Santoso,2,1,3,0,1,0,1,3,1,0,5,5,0,4,5,3,5,15,37,33,10,12,19,103,Tinggi,Rendah,Rendah
263,Hadi,Siregar,2,0,2,1,3,3,3,1,4,0,1,3,2,6,0,32,33,19,10,31,10,19,12,135,Sedang,Tinggi,Rendah
264,Lina,Lestari,0,2,1,1,3,0,3,2,2,4,3,0,1,6,3,3,25,17,26,7,23,18,13,101,Sedang,Tinggi,Rendah
265,Joko,Lestari,1,1,0,1,0,0,4,4,4,1,6,5,5,3,1,18,15,25,1,22,23,16,20,104,Sedang,Rendah,Rendah
266,Budi,Hidayat,1,0,1,2,1,0,0,2,2,1,6,6,3,5,4,6,34,22,18,35,38,10,24,153,Tinggi,Rendah,Rendah
267,Siti,Siregar,3,1,0,0,3,3,2,2,0,4,0,0,3,3,2,9,31,31,25,7,18,18,8,121,Sedang,Tinggi,Rendah
268,Budi,Wibowo,0,3,1,3,2,3,2,1,0,4,1,2,6,1,0,24,23,1,15,16,16,19,10,95,Sedang,Tinggi,Rendah
269,Hadi,Wibowo,3,3,3,1,3,0,3,2,2,3,5,5,3,2,2,31,3,11,16,30,10,23,17,101,Rendah,Sedang,Rendah
270,Rina,Wibowo,1,3,3,2,0,1,2,3,4,3,3,0,1,0,1,16,10,15,34,38,3,22,5,116,Rendah,Tinggi,Rendah
271,Joko,Siregar,1,1,3,1,1,0,4,3,3,3,5,2,4,1,1,16,33,19,36,17,32,20,13,153,Rendah,Tinggi,Rendah
272,Joko,Wibowo,0,1,3,0,1,3,2,1,0,0,3,1,1,2,1,18,30,28,33,13,29,11,8,151,Tinggi,Tinggi,Rendah
273,Lina,Lestari,2,3,2,0,3,1,1,2,4,1,2,6,1,4,2,8,17,28,29,29,1,19,15,112,Sedang,Sedang,Rendah
274,Siti,Siregar,2,1,2,1,3,3,4,2,4,3,2,1,5,6,0,10,23,16,33,23,9,25,14,114,Rendah,Sedang,Rendah
275,Agus,Wibowo,0,1,1,1,0,2,0,3,1,3,2,6,4,2,5,1,23,13,7,26,31,12,19,101,Tinggi,Rendah,Rendah
276,Siti,Lestari,1,3,0,0,3,1,3,3,0,1,0,3,0,6,5,13,30,24,1,8,29,15,14,105,Tinggi,Sedang,Rendah
277,Dewi,Santoso,1,3,1,2,3,3,1,0,1,3,6,1,4,2,4,17,2,28,24,5,15,18,17,91,Sedang,Sedang,Rendah
278,Putra,Siregar,0,2,2,2,0,4,1,1,1,4,4,3,6,0,1,12,29,29,24,21,39,17,14,154,Sedang,Sedang,Rendah
279,Sari,Hidayat,1,3,3,3,0,4,0,1,2,4,0,6,3,5,3,24,24,33,2,21,11,21,17,115,Rendah,Sedang,Rendah
280,Lina,Lestari,1,3,2,2,2,2,2,2,3,3,5,5,0,5,1,22,30,35,37,32,12,22,16,168,Rendah,Sedang,Sedang
281,Joko,Lestari,3,3,2,0,3,4,3,1,4,3,6,5,0,6,0,31,21,4,31,21,12,26,17,120,Rendah,Sedang,Rendah
282,Dewi,Santoso,3,3,1,3,0,2,3,3,1,4,2,5,1,2,3,6,33,4,18,4,30,23,13,95,Rendah,Tinggi,Rendah
283,Lina,Hidayat,1,0,2,3,0,1,0,1,0,3,5,6,5,4,1,34,9,27,13,7,10,11,21,100,Tinggi,Rendah,Rendah
284,Sari,Hidayat,2,2,1,0,1,1,4,3,0,0,4,4,1,3,4,8,29,24,11,36,14,14,16,122,Tinggi,Sedang,Rendah
285,Dewi,Hidayat,2,2,0,1,3,3,0,2,2,3,1,4,3,3,5,22,18,34,5,40,9,18,16,128,Sedang,Sedang,Rendah
286,Lina,Lestari,1,0,0,0,3,0,1,2,0,1,0,6,0,1,0,10,14,32,3,30,38,8,7,127,Tinggi,Tinggi,Rendah
287,Rina,Lestari,2,0,2,3,3,2,4,2,2,3,0,5,5,5,4,29,25,5,24,7,40,23,19,130,Rendah,Rendah,Rendah
288,Hadi,Wibowo,0,3,3,1,1,3,2,0,2,2,6,1,1,5,2,30,9,25,40,2,38,17,15,144,Sedang,Sedang,Rendah
289,Sari,Hidayat,1,2,3,1,1,0,2,0,1,4,3,0,3,6,6,15,1,20,35,39,6,15,18,116,Tinggi,Rendah,Rendah
290,Rina,Siregar,0,3,0,1,3,4,4,1,1,3,1,0,1,6,6,4,7,34,33,25,27,20,14,130,Rendah,Sedang,Rendah
291,Agus,Hidayat,2,0,0,0,0,4,2,3,2,2,6,3,2,5,4,26,15,21,34,22,17,15,20,135,Tinggi,Rendah,Rendah
292,Budi,Santoso,0,3,1,0,1,0,1,1,3,0,2,1,5,4,4,5,14,3,39,33,17,10,16,111,Tinggi,Sedang,Rendah
293,Siti,Hidayat,2,0,0,0,0,2,0,1,1,1,4,2,6,3,6,32,31,14,24,36,10,7,21,147,Tinggi,Rendah,Rendah
294,Dewi,Hidayat,3,3,2,0,3,2,1,2,4,2,0,3,4,5,6,27,22,5,34,25,28,22,18,141,Rendah,Rendah,Rendah
295,Sari,Siregar,0,3,3,2,3,2,0,4,3,1,4,0,1,0,2,10,2,16,33,38,11,21,7,110,Rendah,Tinggi,Rendah
296,Lina,Wibowo,1,1,0,1,3,0,2,2,4,4,1,3,0,4,6,5,29,21,31,23,4,18,14,113,Sedang,Sedang,Rendah
297,Rina,Wibowo,3,3,0,1,1,1,3,2,4,4,2,4,1,3,6,22,11,35,39,20,4,22,16,131,Rendah,Sedang,Rendah
298,Putra,Santoso,0,2,2,2,0,4,3,4,2,1,1,0,5,4,0,8,32,5,26,38,6,20,10,115,Rendah,Tinggi,Rendah
299,Rina,Santoso,2,2,3,0,3,1,3,3,2,4,3,1,3,6,6,22,16,32,5,34,35,23,19,144,Rendah,Rendah,Rendah
300,Lina,Siregar,2,3,0,1,0,4,3,3,1,4,6,4,5,3,4,10,27,35,11,39,40,21,22,162,Rendah,Rendah,Rendah
301,Sari,Wibowo,2,3,0,2,1,3,0,3,1,4,0,5,3,6,0,5,28,28,21,7,19,19,14,108,Sedang,Sedang,Rendah
302,Sari,Siregar,3,1,3,3,2,1,3,0,3,3,4,1,4,5,4,22,27,29,25,24,12,22,18,139,Rendah,Rendah,Rendah
303,Hadi,Siregar,2,0,0,3,0,3,0,2,0,1,6,5,0,6,3,10,21,25,12,38,40,11,20,146,Tinggi,Rendah,Rendah
304,Agus,Siregar,0,2,3,0,2,3,1,3,1,4,3,5,2,5,4,22,20,35,33,25,30,19,19,165,Sedang,Rendah,Rendah
305,Sari,Santoso,0,3,0,0,0,0,1,4,0,3,5,4,2,5,3,7,32,9,8,34,9,11,19,99,Tinggi,Rendah,Rendah
306,Lina,Santoso,2,2,0,1,1,0,1,3,4,2,5,5,1,6,4,3,15,13,17,3,26,16,21,77,Sedang,Rendah,Rendah
307,Siti,Santoso,3,3,3,2,3,4,2,3,4,3,4,2,5,6,0,28,8,16,27,37,30,30,17,146,Rendah,Sedang,Rendah
308,Dewi,Santoso,1,2,1,1,3,3,0,3,4,1,6,6,4,6,6,34,31,32,18,15,24,19,28,154,Sedang,Rendah,Rendah
309,Siti,Hidayat,0,0,3,2,0,3,0,2,2,2,1,4,3,0,3,12,20,4,12,38,15,14,11,101,Tinggi,Tinggi,Rendah
310,Dewi,Lestari,2,0,2,3,2,1,1,4,4,0,0,6,3,5,5,24,11,35,12,23,16,19,19,121,Sedang,Rendah,Rendah
311,Sari,Lestari,1,0,1,1,0,4,4,3,3,4,1,0,5,5,3,32,15,10,30,22,13,21,14,122,Rendah,Sedang,Rendah
312,Rina,Wibowo,0,0,0,1,3,0,2,0,3,2,6,3,4,0,6,24,17,25,19,26,7,11,19,118,Tinggi,Rendah,Rendah
313,Dewi,Wibowo,1,2,0,1,2,2,4,2,3,4,4,6,4,2,0,4,34,16,30,30,18,21,16,132,Rendah,Sedang,Rendah
314,Budi,Hidayat,0,2,2,0,2,1,2,1,1,2,1,0,5,5,6,32,23,14,18,39,32,13,17,158,Tinggi,Sedang,Rendah
315,Joko,Hidayat,0,2,0,0,1,1,4,4,2,2,4,6,6,3,6,15,19,7,7,29,18,16,25,95,Sedang,Rendah,Rendah
316,Putra,Siregar,2,1,0,0,3,4,2,3,0,4,5,4,2,0,0,9,7,16,31,27,39,19,11,129,Sedang,Tinggi,Rendah
317,Siti,Lestari,3,2,0,0,2,1,0,2,2,4,5,4,5,4,4,10,8,32,12,17,17,16,22,96,Sedang,Rendah,Rendah
318,Agus,Hidayat,3,3,0,3,2,4,1,2,0,1,3,1,6,6,4,31,12,5,34,25,36,19,20,143,Sedang,Rendah,Rendah
319,Joko,Lestari,2,1,3,2,2,2,1,0,2,0,6,2,1,5,5,3,33,25,20,29,33,15,19,143,Tinggi,Rendah,Rendah
320,Hadi,Hidayat,1,3,0,2,3,0,2,1,4,0,5,5,0,6,0,8,7,24,27,3,9,16,16,78,Sedang,Sedang,Rendah
321,Putra,Siregar,1,1,2,3,2,1,2,2,4,0,3,0,1,4,1,34,25,15,21,12,25,18,9,132,Sedang,Tinggi,Rendah
322,Putra,Siregar,0,1,2,0,3,1,2,1,0,4,3,5,0,1,6,30,4,7,26,33,12,14,15,112,Tinggi,Sedang,Rendah
323,Sari,Siregar,0,0,1,0,2,4,0,1,0,3,0,6,3,5,5,35,23,30,23,22,10,11,19,143,Tinggi,Rendah,Rendah
324,Joko,Santoso,2,1,1,0,0,0,0,4,0,0,2,5,1,6,4,4,1,7,14,40,35,8,18,101,Tinggi,Rendah,Rendah
325,Agus,Lestari,2,3,3,2,3,3,1,2,0,4,3,1,4,3,6,31,27,8,20,7,33,23,17,126,Rendah,Sedang,Rendah
326,Rina,Santoso,1,1,0,2,0,3,0,1,2,2,5,3,4,0,5,27,9,16,23,1,34,12,17,110,Tinggi,Sedang,Rendah
327,Budi,Siregar,2,0,1,2,0,3,3,3,3,3,5,0,3,1,1,4,27,8,21,19,27,20,10,106,Rendah,Tinggi,Rendah
328,Rina,Lestari,2,1,3,2,1,3,1,2,3,0,1,6,1,4,3,10,19,15,21,11,34,18,15,110,Sedang,Sedang,Rendah
329,Budi,Siregar,0,2,3,2,1,4,4,3,0,4,4,1,3,1,3,33,13,14,11,3,18,23,12,92,Rendah,Tinggi,Rendah
330,Agus,Siregar,2,1,0,1,3,3,0,4,4,4,5,0,5,2,4,22,20,15,2,28,5,22,16,92,Rendah,Sedang,Rendah
331,Lina,Santoso,0,3,1,1,0,1,2,0,2,2,1,4,4,0,2,26,17,25,35,5,6,12,11,114,Tinggi,Tinggi,Rendah
332,Sari,Hidayat,3,1,2,0,3,2,1,1,4,0,0,1,2,1,0,24,15,12,1,15,31,17,4,98,Sedang,Tinggi,Rendah
333,Agus,Lestari,3,3,2,2,1,0,1,4,0,4,6,0,5,0,6,21,28,30,38,23,25,20,17,165,Rendah,Sedang,Rendah
334,Agus,Siregar,2,1,3,1,2,3,3,2,2,2,1,2,5,6,3,5,34,31,31,27,15,21,17,143,Rendah,Sedang,Rendah
335,Budi,Hidayat,2,1,0,1,2,1,0,1,2,2,4,0,2,1,0,24,22,25,14,20,27,12,7,132,Tinggi,Tinggi,Rendah
336,Rina,Wibowo,3,0,3,3,1,0,1,0,0,2,0,0,6,6,5,18,18,24,33,32,36,13,17,161,Tinggi,Sedang,Rendah
337,Agus,Santoso,0,3,1,3,0,4,3,2,4,0,6,2,0,0,2,3,19,28,11,15,13,20,10,89,Rendah,Tinggi,Rendah
338,Joko,Wibowo,0,3,0,3,1,3,3,3,2,2,5,6,3,3,2,28,24,19,18,15,10,20,19,114,Rendah,Rendah,Rendah
339,Siti,Lestari,3,2,3,0,3,4,4,1,4,3,0,5,1,1,6,22,18,23,37,7,8,27,13,115,Rendah,Tinggi,Rendah
340,Agus,Wibowo,3,1,1,1,1,3,1,1,4,0,5,6,5,6,1,28,20,4,25,32,21,16,23,130,Sedang,Rendah,Rendah
341,Rina,Santoso,2,2,1,2,2,4,4,4,0,2,4,3,1,2,4,25,23,11,10,15,38,23,14,122,Rendah,Sedang,Rendah
342,Lina,Wibowo,2,3,0,0,2,0,4,2,2,4,5,1,0,5,2,30,6,9,18,20,15,19,13,98,Sedang,Tinggi,Rendah
343,Lina,Lestari,3,3,2,0,3,3,1,4,1,0,4,1,3,6,5,33,32,4,7,37,10,20,19,123,Rendah,Rendah,Rendah
344,Rina,Wibowo,0,0,2,3,0,4,2,4,3,4,4,2,4,2,4,32,6,18,4,25,35,22,16,120,Rendah,Sedang,Rendah
345,Putra,Wibowo,3,2,0,0,0,4,3,4,1,0,1,3,0,2,5,25,27,21,17,25,9,17,11,124,Sedang,Tinggi,Rendah
346,Dewi,Wibowo,3,1,2,3,3,4,0,3,3,4,0,1,1,5,0,11,22,19,1,32,4,26,7,89,Rendah,Tinggi,Rendah
347,Rina,Hidayat,1,0,0,2,2,1,0,3,0,0,4,5,2,2,6,8,17,35,34,26,16,9,19,136,Tinggi,Rendah,Rendah
348,Siti,Lestari,2,3,1,2,0,0,3,4,2,4,1,6,4,2,2,25,5,29,7,8,21,21,15,95,Rendah,Sedang,Rendah
349,Rina,Wibowo,0,3,3,1,0,2,1,2,3,4,0,2,2,5,4,16,29,5,31,3,31,19,13,115,Sedang,Tinggi,Rendah
350,Dewi,Hidayat,1,1,0,0,2,3,4,2,2,2,4,0,5,3,3,19,22,6,37,17,9,17,15,110,Sedang,Sedang,Rendah
351,Hadi,Wibowo,0,2,3,1,0,2,1,3,3,4,2,1,6,3,4,10,32,33,34,8,29,19,16,146,Sedang,Sedang,Rendah
352,Agus,Siregar,3,1,1,1,0,4,4,1,1,0,0,2,2,1,2,6,11,21,33,22,27,16,7,120,Sedang,Tinggi,Rendah
353,Hadi,Hidayat,2,2,3,2,2,2,3,0,4,0,1,3,5,1,2,22,20,33,23,36,14,20,12,148,Rendah,Tinggi,Rendah
354,Agus,Wibowo,3,2,2,1,3,2,4,3,2,3,4,0,0,4,2,3,13,7,25,32,7,25,10,87,Rendah,Tinggi,Rendah
355,Hadi,Hidayat,0,0,2,2,0,0,1,0,0,0,6,2,4,6,1,12,17,19,18,36,13,5,19,115,Tinggi,Rendah,Rendah
356,Budi,Lestari,1,1,3,0,3,4,2,3,1,0,1,1,2,1,6,23,29,6,26,34,39,18,11,157,Sedang,Tinggi,Rendah
357,Lina,Santoso,2,0,0,1,1,0,3,0,2,1,0,0,6,3,5,19,8,10,9,4,31,10,14,81,Tinggi,Sedang,Rendah
358,Budi,Lestari,1,0,3,2,2,2,2,1,2,0,5,2,3,3,5,32,31,17,33,13,20,15,18,146,Tinggi,Rendah,Rendah
